close,datetime,symbol
25.19,2022-03-16 00:00:00,LOGN3
92.76,2022-03-16 00:00:00,UNIP6
43.86,2022-03-16 00:00:00,SMTO3
28.9,2022-03-17 00:00:00,CPFE3
25.13,2022-03-17 00:00:00,LOGN3
20.67,2022-03-17 00:00:00,RECV3
44.84,2022-03-17 00:00:00,SMTO3
34.25,2022-03-17 00:00:00,HYPE3
94.21,2022-03-17 00:00:00,UNIP6
32.88,2022-03-17 00:00:00,ELET6
35.51,2022-03-17 00:00:00,RRRP3
45.66,2022-03-17 00:00:00,SLCE3
33.47,2022-03-17 00:00:00,ELET3
95.1,2022-03-18 00:00:00,UNIP6
34.38,2022-03-18 00:00:00,HYPE3
47.5,2022-03-18 00:00:00,SMTO3
45.71,2022-03-18 00:00:00,SLCE3
29.34,2022-03-18 00:00:00,CPFE3
25.27,2022-03-18 00:00:00,LOGN3
34.42,2022-03-18 00:00:00,ELET3
33.67,2022-03-18 00:00:00,ELET6
21.9,2022-03-18 00:00:00,RECV3
36.51,2022-03-18 00:00:00,RRRP3
29.6,2022-03-21 00:00:00,CPFE3
46.54,2022-03-21 00:00:00,SLCE3
35.26,2022-03-21 00:00:00,HYPE3
25.17,2022-03-21 00:00:00,LOGN3
37.86,2022-03-21 00:00:00,RRRP3
46.95,2022-03-21 00:00:00,SMTO3
21.99,2022-03-21 00:00:00,RECV3
33.36,2022-03-21 00:00:00,ELET6
95.24,2022-03-21 00:00:00,UNIP6
34.01,2022-03-21 00:00:00,ELET3
34.43,2022-03-22 00:00:00,ELET6
35.96,2022-03-22 00:00:00,HYPE3
23.69,2022-03-22 00:00:00,RECV3
30,2022-03-22 00:00:00,CPFE3
93.19,2022-03-22 00:00:00,UNIP6
25.5,2022-03-22 00:00:00,LOGN3
38.6,2022-03-22 00:00:00,RRRP3
46.71,2022-03-22 00:00:00,SLCE3
35.19,2022-03-22 00:00:00,ELET3
45.56,2022-03-22 00:00:00,SMTO3
35.16,2022-03-23 00:00:00,ELET3
36.13,2022-03-23 00:00:00,HYPE3
46.37,2022-03-23 00:00:00,SMTO3
39.74,2022-03-23 00:00:00,RRRP3
25.64,2022-03-23 00:00:00,LOGN3
46.88,2022-03-23 00:00:00,SLCE3
24.92,2022-03-23 00:00:00,RECV3
34.21,2022-03-23 00:00:00,ELET6
93.62,2022-03-23 00:00:00,UNIP6
29.82,2022-03-23 00:00:00,CPFE3
46.28,2022-03-24 00:00:00,SMTO3
46.48,2022-03-24 00:00:00,SLCE3
39.9,2022-03-24 00:00:00,RRRP3
25.75,2022-03-24 00:00:00,LOGN3
25.91,2022-03-24 00:00:00,RECV3
30.35,2022-03-24 00:00:00,CPFE3
36.9,2022-03-24 00:00:00,HYPE3
92.92,2022-03-24 00:00:00,UNIP6
35.51,2022-03-24 00:00:00,ELET3
34.88,2022-03-24 00:00:00,ELET6
25.75,2022-03-25 00:00:00,LOGN3
38.29,2022-03-25 00:00:00,HYPE3
35.86,2022-03-25 00:00:00,ELET3
34.85,2022-03-25 00:00:00,ELET6
44.65,2022-03-25 00:00:00,SLCE3
40.4,2022-03-25 00:00:00,RRRP3
26.19,2022-03-25 00:00:00,RECV3
30.29,2022-03-25 00:00:00,CPFE3
45.67,2022-03-25 00:00:00,SMTO3
93.44,2022-03-25 00:00:00,UNIP6
38.1,2022-03-28 00:00:00,HYPE3
35.91,2022-03-28 00:00:00,ELET3
25.96,2022-03-28 00:00:00,LOGN3
30.11,2022-03-28 00:00:00,CPFE3
34.92,2022-03-28 00:00:00,ELET6
40.44,2022-03-28 00:00:00,RRRP3
44.71,2022-03-28 00:00:00,SLCE3
91.83,2022-03-28 00:00:00,UNIP6
45.55,2022-03-28 00:00:00,SMTO3
25.96,2022-03-28 00:00:00,RECV3
43.92,2022-03-29 00:00:00,SMTO3
92.17,2022-03-29 00:00:00,UNIP6
25.72,2022-03-29 00:00:00,RECV3
36.36,2022-03-29 00:00:00,ELET3
26.56,2022-03-29 00:00:00,LOGN3
41.48,2022-03-29 00:00:00,RRRP3
37.82,2022-03-29 00:00:00,HYPE3
30.13,2022-03-29 00:00:00,CPFE3
35.43,2022-03-29 00:00:00,ELET6
45.21,2022-03-29 00:00:00,SLCE3
46.66,2022-03-30 00:00:00,SLCE3
35.27,2022-03-30 00:00:00,ELET6
91.87,2022-03-30 00:00:00,UNIP6
43.37,2022-03-30 00:00:00,SMTO3
36.27,2022-03-30 00:00:00,ELET3
29.66,2022-03-30 00:00:00,CPFE3
38.23,2022-03-30 00:00:00,HYPE3
27.9,2022-03-30 00:00:00,LOGN3
24.92,2022-03-30 00:00:00,RECV3
42.2,2022-03-30 00:00:00,RRRP3
36.08,2022-03-31 00:00:00,ELET6
23.98,2022-03-31 00:00:00,RECV3
29.38,2022-03-31 00:00:00,CPFE3
44.36,2022-03-31 00:00:00,SMTO3
92.13,2022-03-31 00:00:00,UNIP6
37.28,2022-03-31 00:00:00,ELET3
47.52,2022-03-31 00:00:00,SLCE3
38.71,2022-03-31 00:00:00,HYPE3
41.85,2022-03-31 00:00:00,RRRP3
28.19,2022-03-31 00:00:00,LOGN3
44.4,2022-04-01 00:00:00,SMTO3
30.34,2022-04-01 00:00:00,CPFE3
42.3,2022-04-01 00:00:00,RRRP3
28.5,2022-04-01 00:00:00,LOGN3
38.58,2022-04-01 00:00:00,ELET3
48.07,2022-04-01 00:00:00,SLCE3
39.22,2022-04-01 00:00:00,HYPE3
24.17,2022-04-01 00:00:00,RECV3
37.41,2022-04-01 00:00:00,ELET6
90.54,2022-04-01 00:00:00,UNIP6
23.62,2022-04-04 00:00:00,RECV3
30.13,2022-04-04 00:00:00,CPFE3
44.84,2022-04-04 00:00:00,SMTO3
39,2022-04-04 00:00:00,HYPE3
38.87,2022-04-04 00:00:00,ELET3
42.78,2022-04-04 00:00:00,RRRP3
28.57,2022-04-04 00:00:00,LOGN3
88.99,2022-04-04 00:00:00,UNIP6
37.64,2022-04-04 00:00:00,ELET6
47.56,2022-04-04 00:00:00,SLCE3
39.05,2022-04-05 00:00:00,HYPE3
37.37,2022-04-05 00:00:00,ELET3
36.17,2022-04-05 00:00:00,ELET6
30.12,2022-04-05 00:00:00,CPFE3
28.95,2022-04-05 00:00:00,LOGN3
47.14,2022-04-05 00:00:00,SLCE3
23.73,2022-04-05 00:00:00,RECV3
43.4,2022-04-05 00:00:00,RRRP3
45.48,2022-04-05 00:00:00,SMTO3
89.91,2022-04-05 00:00:00,UNIP6
44.07,2022-04-06 00:00:00,RRRP3
38.81,2022-04-06 00:00:00,HYPE3
30.27,2022-04-06 00:00:00,CPFE3
91.1,2022-04-06 00:00:00,UNIP6
28.46,2022-04-06 00:00:00,LOGN3
37.23,2022-04-06 00:00:00,ELET6
38.77,2022-04-06 00:00:00,ELET3
23.41,2022-04-06 00:00:00,RECV3
46.05,2022-04-06 00:00:00,SMTO3
